id,first_name,last_name,email,username,password,account_status,birthday,created_at,updated_at
15,Tomás,Ortiz,tomas.ortiz@example.com,tortiz,p@55w0rd15!,active,1986-01-17,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
16,Daniela,Luna,daniela.luna@example.com,dluna,p@55w0rd16!,inactive,1993-03-03,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
17,Nicolás,Vargas,nicolas.vargas@example.com,nvargas,p@55w0rd17!,active,1995-06-09,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
18,Alexa,Guerrero,alexa.guerrero@example.com,aguerrero,p@55w0rd18!,active,1992-11-11,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
19,Iván,Camacho,ivan.camacho@example.com,icamacho,p@55w0rd19!,inactive,1989-04-27,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
20,Aitana,Peña,aitana.pena@example.com,apena,p@55w0rd20!,suspended,1990-09-30,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
21,Maximiliano,Salinas,max.salinas@example.com,msalinas,p@55w0rd21!,active,1987-02-20,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
22,Fernanda,Cabrera,fernanda.cabrera@example.com,fcabrera,p@55w0rd22!,active,1996-12-12,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
23,Julián,Mejía,julian.mejia@example.com,jmejia,p@55w0rd23!,inactive,1993-06-04,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
24,Andrea,Valdez,andrea.valdez@example.com,avaldez,p@55w0rd24!,active,1988-03-26,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
25,Emiliano,Escobar,emiliano.escobar@example.com,eescobar,p@55w0rd25!,suspended,1994-07-01,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
26,Montserrat,Miranda,montserrat.miranda@example.com,mmiranda,p@55w0rd26!,active,1991-05-18,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
27,Leonardo,Cortés,leonardo.cortes@example.com,lcortes,p@55w0rd27!,inactive,1986-08-29,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
28,Victoria,Ríos,victoria.rios@example.com,vrios,p@55w0rd28!,active,1997-01-10,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
29,Gabriel,Lara,gabriel.lara@example.com,glara,p@55w0rd29!,active,1990-11-15,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
30,Paula,Serrano,paula.serrano@example.com,pserrano,p@55w0rd30!,suspended,1995-02-05,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
31,Damián,Acosta,damian.acosta@example.com,dacosta,p@55w0rd31!,active,1992-10-08,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
32,Natalia,Padilla,natalia.padilla@example.com,npadilla,p@55w0rd32!,inactive,1989-09-13,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
33,Agustín,Rangel,agustin.rangel@example.com,arangel,p@55w0rd33!,active,1987-12-24,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
34,Josefina,Treviño,josefina.trevino@example.com,jtrevino,p@55w0rd34!,active,1994-06-30,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
35,Cristóbal,Delgado,cristobal.delgado@example.com,cdelgado,p@55w0rd35!,inactive,1993-04-22,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
36,Ximena,Carrillo,ximena.carrillo@example.com,xcarrillo,p@55w0rd36!,suspended,1991-08-11,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
37,Benjamín,Gallardo,benjamin.gallardo@example.com,bgallardo,p@55w0rd37!,active,1988-07-20,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
38,Antonella,Zamora,antonella.zamora@example.com,azamora,p@55w0rd38!,active,1996-05-01,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
39,Felipe,Moya,felipe.moya@example.com,fmoya,p@55w0rd39!,inactive,1985-09-06,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
40,Luciana,Salazar,luciana.salazar@example.com,lsalazar,p@55w0rd40!,active,1992-02-28,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
41,Gael,Reyes,gael.reyes@example.com,greyes,p@55w0rd41!,active,1989-03-30,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
42,Abril,Medina,abril.medina@example.com,amedina,p@55w0rd42!,suspended,1995-10-04,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
43,Bruno,Cano,bruno.cano@example.com,bcano,p@55w0rd43!,active,1990-12-15,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
44,María,Soto,maria.soto@example.com,msoto,p@55w0rd44!,active,1987-06-12,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
45,Thiago,Rivera,thiago.rivera@example.com,trivera,p@55w0rd45!,inactive,1994-01-28,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
46,Carla,Peralta,carla.peralta@example.com,cperalta,p@55w0rd46!,active,1993-11-03,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
47,Alan,Solís,alan.solis@example.com,asolis,p@55w0rd47!,suspended,1986-07-19,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
48,Elena,Vega,elena.vega@example.com,evega,p@55w0rd48!,active,1991-03-06,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
49,Franco,Ávila,franco.avila@example.com,favila,p@55w0rd49!,inactive,1989-05-23,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
50,Julia,Ponce,julia.ponce@example.com,jponce,p@55w0rd50!,active,1990-10-18,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
101,Gaba,Ortiz,gaba.ortiz@example.com,gortiz05,gortiz05-20025,active,1991-07-15,2025-09-11 20:57:57.756068,2025-09-11 20:57:57.756068
1,Sofía,Ramírez,sofia.ramirez@example.com,sramirez,p@55w0rd1!,delinquent,1991-07-15,2025-09-11 20:57:43.967560,2025-09-11 20:57:43.967560
